"275 [ 23, 22 ] jd td"	21849	43.70%
"491 [ 31, 26 ] 6s as"	21838	43.68%
"149 [ 17, 13 ] 5d ad"	21837	43.67%
"461 [ 30, 26 ] 5s as"	21836	43.67%
"951 [ 44, 5 ] 6c 6h"	21827	43.65%
"10 [ 5, 0 ] 6h ah"	21787	43.57%
"243 [ 22, 12 ] td kh"	21783	43.57%
"1297 [ 51, 22 ] kc td"	21764	43.53%
"900 [ 42, 39 ] 4c ac"	21761	43.52%
"942 [ 43, 39 ] 5c ac"	21756	43.51%
"749 [ 39, 8 ] ac 9h"	21748	43.50%
"166 [ 18, 13 ] 6d ad"	21741	43.48%
"561 [ 34, 0 ] 9s ah"	21716	43.43%
"620 [ 35, 25 ] ts kd"	21711	43.42%
"725 [ 38, 22 ] ks td"	21707	43.41%
"346 [ 26, 21 ] as 9d"	21704	43.41%
"1284 [ 51, 9 ] kc th"	21702	43.40%
"607 [ 35, 12 ] ts kh"	21697	43.39%
"1310 [ 51, 35 ] kc ts"	21693	43.39%
"309 [ 25, 9 ] kd th"	21669	43.34%
"712 [ 38, 9 ] ks th"	21658	43.32%
"54 [ 10, 9 ] jh th"	21652	43.30%
"762 [ 39, 21 ] ac 9d"	21643	43.29%
"333 [ 26, 8 ] as 9h"	21631	43.26%
"210 [ 21, 0 ] 9d ah"	21607	43.21%
"86 [ 13, 8 ] ad 9h"	21598	43.20%
"676 [ 37, 10 ] qs jh"	21596	43.19%
"1094 [ 47, 13 ] 9c ad"	21576	43.15%
"1224 [ 49, 48 ] jc tc"	21574	43.15%
"775 [ 39, 34 ] ac 9s"	21554	43.11%
"432 [ 29, 26 ] 4s as"	21538	43.08%
"1081 [ 47, 0 ] 9c ah"	21524	43.05%
"985 [ 44, 39 ] 6c ac"	21523	43.05%
"1107 [ 47, 26 ] 9c as"	21482	42.96%
"264 [ 23, 11 ] jd qh"	21474	42.95%
"1261 [ 50, 36 ] qc js"	21447	42.89%
"286 [ 24, 10 ] qd jh"	21437	42.87%
"1248 [ 50, 23 ] qc jd"	21433	42.87%
"1187 [ 49, 11 ] jc qh"	21413	42.83%
"133 [ 16, 13 ] 4d ad"	21412	42.82%
"1235 [ 50, 10 ] qc jh"	21412	42.82%
"689 [ 37, 23 ] qs jd"	21401	42.80%
"1200 [ 49, 24 ] jc qd"	21386	42.77%
"641 [ 36, 11 ] js qh"	21342	42.68%
"85 [ 13, 7 ] ad 8h"	21302	42.60%
"345 [ 26, 20 ] as 8d"	21282	42.56%
"3 [ 3, 0 ] 4h ah"	21267	42.53%
"1035 [ 46, 0 ] 8c ah"	21260	42.52%
"654 [ 36, 24 ] js qd"	21248	42.50%
"774 [ 39, 33 ] ac 8s"	21238	42.48%
"297 [ 24, 21 ] qd 9d"	21208	42.42%
"63 [ 11, 8 ] qh 9h"	21204	42.41%
"1234 [ 50, 9 ] qc th"	21146	42.29%
"748 [ 39, 7 ] ac 8h"	21135	42.27%
"1213 [ 49, 37 ] jc qs"	21122	42.24%
"541 [ 33, 13 ] 8s ad"	21120	42.24%
"1048 [ 46, 13 ] 8c ad"	21114	42.23%
"190 [ 20, 0 ] 8d ah"	21095	42.19%
"700 [ 37, 34 ] qs 9s"	21088	42.18%
"332 [ 26, 7 ] as 8h"	21078	42.16%
"1061 [ 46, 26 ] 8c as"	21059	42.12%
"1272 [ 50, 47 ] qc 9c"	21058	42.12%
"118 [ 15, 13 ] 3d ad"	21005	42.01%
"285 [ 24, 9 ] qd th"	21004	42.01%
"1165 [ 48, 37 ] tc qs"	20995	41.99%
"606 [ 35, 11 ] ts qh"	20993	41.99%
"736 [ 38, 33 ] ks 8s"	20992	41.98%
"675 [ 37, 9 ] qs th"	20987	41.97%
"528 [ 33, 0 ] 8s ah"	20985	41.97%
"1321 [ 51, 46 ] kc 8c"	20982	41.96%
"320 [ 25, 20 ] kd 8d"	20969	41.94%
"761 [ 39, 20 ] ac 8d"	20960	41.92%
"404 [ 28, 26 ] 3s as"	20953	41.91%
"859 [ 41, 39 ] 3c ac"	20951	41.90%
"1 [ 2, 0 ] 3h ah"	20937	41.87%
"1139 [ 48, 11 ] tc qh"	20919	41.84%
"1247 [ 50, 22 ] qc td"	20913	41.83%
"242 [ 22, 11 ] td qh"	20884	41.77%
"73 [ 12, 7 ] kh 8h"	20868	41.74%
"619 [ 35, 24 ] ts qd"	20846	41.69%
"1152 [ 48, 24 ] tc qd"	20846	41.69%
"773 [ 39, 32 ] ac 7s"	20833	41.67%
"688 [ 37, 22 ] qs td"	20813	41.63%
"760 [ 39, 19 ] ac 7d"	20791	41.58%
"1260 [ 50, 35 ] qc ts"	20780	41.56%
"990 [ 45, 0 ] 7c ah"	20752	41.50%
"331 [ 26, 6 ] as 7h"	20746	41.49%
"344 [ 26, 19 ] as 7d"	20746	41.49%
"84 [ 13, 6 ] ad 7h"	20745	41.49%
"1016 [ 45, 26 ] 7c as"	20679	41.36%
"496 [ 32, 0 ] 7s ah"	20678	41.36%
"1283 [ 51, 8 ] kc 9h"	20672	41.34%
"747 [ 39, 6 ] ac 7h"	20662	41.32%
"1223 [ 49, 47 ] jc 9c"	20648	41.30%
"664 [ 36, 34 ] js 9s"	20646	41.29%
"72 [ 12, 6 ] kh 7h"	20623	41.25%
"1296 [ 51, 21 ] kc 9d"	20587	41.17%
"171 [ 19, 0 ] 7d ah"	20572	41.14%
"1093 [ 47, 12 ] 9c kh"	20571	41.14%
"1003 [ 45, 13 ] 7c ad"	20552	41.10%
"1320 [ 51, 45 ] kc 7c"	20552	41.10%
"711 [ 38, 8 ] ks 9h"	20547	41.09%
"1309 [ 51, 34 ] kc 9s"	20546	41.09%
"53 [ 10, 8 ] jh 9h"	20543	41.09%
"907 [ 43, 4 ] 5c 5h"	20535	41.07%
"573 [ 34, 12 ] 9s kh"	20525	41.05%
"308 [ 25, 8 ] kd 9h"	20514	41.03%
"377 [ 27, 26 ] 2s as"	20491	40.98%
"274 [ 23, 21 ] jd 9d"	20487	40.97%
"0 [ 1, 0 ] 2h ah"	20482	40.96%
"819 [ 40, 39 ] 2c ac"	20482	40.96%
"319 [ 25, 19 ] kd 7d"	20481	40.96%
